"","Puerta_Bonita","Vista_Alegre","Guayaba","Almendrales","Las_Calesas","Zofío","Orcasur","San_Fermín","San_Andrés","San_Cristóbal","El_Espinillo","Los_Rosales","Villa_Vallecas","Entrevías","San_Diego","Martínez_de_la_Riva","Numancia","Peña_Prieta","Pozo_de_Tío_Raimundo","Ángela_Uriarte","Alcalá_de_Guadaíra","Federica_Montseny","Doctor_Cirajas","Gandhi","Daroca","La_Elipa","Orcasitas","Vicálvaro_Astilleros","Campo_de_la_Paloma","Rafael_Alberti","García_Noblejas","Núñez_Morgado","Guzmán_el_Bueno","Vinateros_Torito","Pavones","Vandel","Puerta_del_Ángel","Virgen_de_Begoña","Infanta_Mercedes","Villaamil","Palma_Universidad","Eloy_Gonzalo","Justicia","Cortes","Cea_Bermúdez","Segovia","Lavapiés","Alameda","Imperial","Acacias","Martín_de_Vargas","Embajadores","Méndez_Álvaro","Legazpi","Chopera","Comillas","Antonio_Leyva","Opañel","San_Isidro","Los_Cármenes","Lucero","General_Ricardos","Abrantes","Los_Yébenes","Maqueda","Campamento","Buenavista","Las_Águilas","Carabanchel_Alto","Butarque","Ensanche_Vallecas","Perales_del_Río","Vicálvaro-Villablanca","Valdebernardo","Valderribas","Media_Legua","Estrella","Adelfas","Pacífico","Ibiza","Castelló","Goya","General_Oráa","Montesa","Londres","Espronceda","Segre","Prosperidad","Baviera","Canal_de_Panamá","Estrecho_de_Corea","Aquitania","Simancas","Alpes","Quinta_de_los_Molinos","Silvano","Canillejas","Alameda_de_Osuna","Rejas","Benita_de_Ávila","Vicente_Muzas","Potosí","General_Moscardó","Bustarviejo","Monovar","Jazmín","Mar_Báltico","Virgen_del_Cortijo","Sanchinarro","Las_Tablas","Pilar","La_Ventanilla","Barajas","Los_Alperchines","Mirasierra","Fuencarral","Montecarmelo","El_Pardo","Aravaca","Valdezarza","Fuentelarreina","Casa_de_Campo","Argüelles","Andrés_Mellado","Caramuel","General_Fanjul","Valle_Inclán","x"
"1",148.49,48.7,21.78,27.89,15.14,34.96,21.71,8.44,4.27,38.73,24.03,28.62,25.63,50.93,73.59,53.89,140.03,93.09,41.69,33.21,40.8,35.59,23.61,25.62,20.34,43.75,21.9,NA,47.14,14.89,13.62,21.45,32.76,77.55,92.74,49.13,22.54,20.74,6.94,15.99,20.46,38.52,14.37,15.18,25.74,26.37,16.93,23.5,35.16,5.15,11.54,19.37,33.36,46.29,35.04,22.31,0,51.58,29.02,39.86,35.86,42.57,19.51,NA,55.34,39.38,4.5,32.66,32.23,21.21,27.24,31.16,NA,233.19,50.24,47.89,48.12,27.43,54.78,50.01,0,26.9,26.7,45.18,48.74,24.58,34.16,10.85,20.36,22.37,27.84,16.52,35.81,33.24,17.63,39.16,17.5,13.79,17.96,30.89,4.8,23.98,9.9,14.62,33.03,29.71,20.38,0,3.42,6.14,14.38,NA,22.72,10.12,33.45,19.1,10.82,57.94,30.26,30.44,39.91,23.12,20.75,25.26,34.68,34.26,19.16,1
"2",114.74,29.76,16.34,18.59,18.93,25.42,21.71,12.66,12.8,24.21,12.02,38.16,14.65,43.65,61.97,23.95,148.26,122.19,27.79,51.66,8.16,20.34,23.61,30.74,20.34,14.58,8.76,NA,62.85,24.82,9.08,30.02,28.08,96.94,98.92,44.66,39.45,31.11,6.94,11.99,12.28,25.68,14.37,26.56,36.03,21.98,25.4,18.8,39.56,138.95,11.54,15.49,22.24,42.73,35.04,40.16,14.62,41.26,52.24,39.86,48.67,67.4,19.51,NA,70.1,39.38,9,43.54,20.14,21.21,30.64,20.77,NA,63.02,40.19,59.86,48.12,34.28,57.82,44.13,6.36,30.26,19.07,20.54,6.96,29.49,57.81,10.85,33.93,19.17,15.47,4.13,28.65,16.62,8.81,36.71,7,6.9,17.96,41.19,4.8,27.41,14.85,14.62,28.31,33.96,20.38,7.11,0,21.47,14.38,NA,34.08,20.24,21.29,19.1,5.41,0,24.76,21.74,34.92,30.82,33.19,16.84,47.69,34.26,47.91,2
"3",80.99,29.76,5.45,9.3,26.5,15.89,28.95,16.88,59.72,24.21,42.06,42.93,25.63,40.01,30.99,23.95,57.66,98.91,13.9,40.59,8.16,15.25,41.31,61.48,17.43,29.17,8.76,NA,52.38,24.82,18.16,25.74,28.08,106.63,80.37,93.8,50.72,20.74,6.94,23.99,36.83,32.1,28.74,37.95,30.88,13.19,25.4,23.5,13.19,144.09,17.31,15.49,11.12,46.29,15.93,53.54,14.62,36.1,34.83,31.89,35.86,67.4,9.76,NA,59.03,19.69,18.01,36.28,12.09,37.12,30.64,20.77,NA,18.91,30.14,79.81,41.25,54.85,57.82,58.84,25.45,13.45,3.81,12.32,0,34.41,44.67,18.09,13.57,22.37,6.19,20.65,32.23,5.54,35.25,22.03,24.5,17.24,11.97,25.74,14.41,20.56,14.85,14.62,14.15,12.73,31.35,21.34,3.42,18.41,14.38,NA,11.36,15.18,30.41,23.88,16.23,0,13.76,17.39,14.97,23.12,49.79,33.68,39.02,25.69,67.07,3
"4",67.49,18.94,10.89,4.65,26.5,15.89,21.71,25.32,72.51,14.52,48.07,23.85,40.28,43.65,23.24,23.95,57.66,69.82,0,22.14,24.48,25.42,47.22,51.23,20.34,29.17,8.76,NA,15.71,39.72,22.7,17.16,42.12,74.32,74.19,84.86,33.81,31.11,0,19.99,49.1,38.52,50.29,37.95,25.74,13.19,16.93,23.5,0,10.29,40.39,19.37,0,21.36,25.48,22.31,0,25.79,17.41,35.87,23.05,24.83,3.25,NA,40.58,26.25,27.01,25.4,12.09,37.12,18.72,0,NA,18.91,25.12,67.84,41.25,48,51.73,55.9,25.45,11.77,0,20.54,0,14.75,15.77,21.7,6.79,12.78,12.38,20.65,42.97,8.31,26.44,22.03,21,17.24,23.95,10.3,4.8,6.85,4.95,4.87,4.72,8.49,21.95,21.34,3.42,6.14,16.77,NA,22.72,15.18,51.69,28.66,59.52,0,22.01,19.57,9.98,15.41,41.49,25.26,39.02,17.13,19.16,4
"5",101.24,24.35,16.34,4.65,15.14,28.6,7.24,29.54,46.92,14.52,30.04,4.77,47.61,32.74,38.73,23.95,49.42,52.37,0,33.21,24.48,30.51,20.66,10.25,20.34,21.88,4.38,NA,15.71,59.57,13.62,4.29,23.4,48.47,43.28,44.66,22.54,31.11,0,4,24.55,22.47,43.11,30.36,25.74,13.19,46.56,14.1,8.79,5.15,34.62,19.37,0,39.17,12.74,13.39,0,30.95,11.61,39.86,23.05,14.19,3.25,NA,22.14,26.25,27.01,47.17,12.09,0,15.32,20.77,NA,50.42,5.02,51.88,20.62,54.85,60.86,20.59,12.73,20.18,0,32.86,13.93,9.83,7.88,19.89,13.57,6.39,12.38,12.39,32.23,13.85,17.63,12.24,7,13.79,11.97,10.3,4.8,3.43,0,4.87,4.72,8.49,12.54,7.11,0,9.2,11.98,NA,28.4,20.24,42.57,14.33,70.35,0,24.76,21.74,4.99,7.71,24.9,16.84,52.03,12.85,9.58,5
"6",54,27.06,21.78,9.3,18.93,31.78,7.24,16.88,34.12,9.68,12.02,9.54,29.3,21.83,38.73,23.95,41.18,46.55,0,25.83,16.32,15.25,5.9,5.12,29.06,21.88,0,NA,10.48,24.82,13.62,0,4.68,35.54,18.55,31.27,16.91,31.11,0,4,16.37,12.84,14.37,11.38,41.18,13.19,50.8,4.7,13.19,15.44,11.54,3.87,0,28.49,3.19,22.31,0,36.1,5.8,31.89,30.74,17.74,3.25,NA,14.76,6.56,13.51,47.17,8.06,5.3,22.13,20.77,NA,37.81,10.05,27.94,13.75,41.14,36.52,14.71,31.81,18.49,7.63,36.97,20.89,19.66,7.88,14.47,6.79,12.78,18.56,12.39,10.74,19.39,17.63,2.45,7,27.59,0,5.15,4.8,0,0,4.87,9.44,4.24,9.41,14.23,3.42,3.07,9.58,NA,5.68,15.18,21.29,4.78,32.47,0,8.25,17.39,0,0,29.04,25.26,47.69,12.85,19.16,6
"7",27,27.06,16.34,13.95,15.14,19.07,14.48,8.44,12.8,4.84,36.05,19.08,7.32,10.91,23.24,5.99,41.18,40.73,13.9,3.69,8.16,5.08,8.85,5.12,31.96,7.29,0,NA,0,19.86,13.62,0,0,19.39,12.36,22.33,5.64,31.11,6.94,15.99,16.37,19.26,7.18,7.59,36.03,35.16,12.7,0,4.4,20.58,0,0,0,10.68,6.37,13.39,0,20.63,5.8,11.96,20.49,21.28,3.25,NA,11.07,6.56,9,18.14,8.06,10.61,11.92,10.39,NA,18.91,10.05,11.97,20.62,10.29,9.13,14.71,19.09,8.41,11.44,32.86,6.96,17.2,2.63,10.85,6.79,15.98,18.56,4.13,0,22.16,0,4.89,14,24.14,5.99,5.15,9.61,6.85,0,4.87,9.44,4.24,6.27,35.57,13.68,0,9.58,NA,5.68,5.06,6.08,9.55,5.41,0,8.25,8.7,4.99,0,24.9,12.63,21.68,12.85,9.58,7
"8",60.75,27.06,10.89,9.3,3.79,6.36,14.48,4.22,4.27,14.52,42.06,23.85,10.99,10.91,27.11,5.99,32.95,17.46,27.79,3.69,8.16,15.25,8.85,5.12,14.53,7.29,0,NA,20.95,29.79,9.08,0,9.36,9.69,37.09,17.87,11.27,0,0,11.99,49.1,19.26,7.18,18.97,25.74,26.37,12.7,0,4.4,5.15,5.77,7.75,0,17.8,12.74,8.92,0,5.16,11.61,0,5.12,14.19,6.5,NA,7.38,13.13,9,14.51,4.03,5.3,3.4,41.55,NA,12.6,5.02,7.98,13.75,10.29,0,5.88,6.36,10.09,3.81,28.75,0,9.83,2.63,10.85,13.57,9.59,15.47,8.26,14.32,13.85,8.81,4.89,17.5,13.79,17.96,5.15,19.22,13.71,0,9.75,4.72,4.24,9.41,0,6.84,0,7.19,NA,5.68,0,6.08,14.33,0,28.97,13.76,10.87,9.98,7.71,8.3,4.21,8.67,8.56,0,8
"9",67.49,16.23,16.34,9.3,15.14,6.36,14.48,4.22,8.53,29.05,12.02,14.31,14.65,21.83,11.62,5.99,28.83,17.46,13.9,14.76,8.16,20.34,11.8,5.12,5.81,65.63,13.14,NA,31.43,39.72,0,4.29,14.04,19.39,18.55,13.4,11.27,10.37,0,4,32.74,6.42,21.55,26.56,10.29,13.19,12.7,4.7,4.4,0,5.77,11.62,0,24.93,47.78,4.46,7.31,0,11.61,3.99,33.3,21.28,13.01,NA,7.38,32.81,13.51,14.51,12.09,10.61,3.4,41.55,NA,37.81,10.05,15.96,13.75,10.29,30.43,11.77,25.45,13.45,3.81,20.54,6.96,9.83,13.14,27.13,40.72,3.2,18.56,8.26,14.32,2.77,8.81,7.34,3.5,10.34,11.97,10.3,14.41,17.13,14.85,0,0,4.24,4.7,0,13.68,3.07,7.19,NA,0,0,12.16,19.1,0,28.97,27.51,19.57,4.99,30.82,33.19,16.84,8.67,8.56,28.74,9
"10",27,27.06,16.34,88.32,37.85,60.38,21.71,42.2,85.31,67.78,36.05,19.08,29.3,54.56,34.86,83.82,49.42,40.73,13.9,36.9,8.16,25.42,17.71,10.25,37.78,87.51,30.66,NA,36.66,49.65,13.62,4.29,18.72,19.39,0,31.27,22.54,10.37,0,31.98,32.74,22.47,43.11,72.1,30.88,96.7,50.8,42.31,65.93,36.02,69.24,34.86,33.36,39.17,95.56,17.85,43.86,30.95,34.83,27.9,66.6,56.76,42.28,NA,25.83,52.5,13.51,32.66,16.11,15.91,6.81,10.39,NA,63.02,15.07,15.96,13.75,34.28,33.47,35.3,25.45,18.49,15.26,36.97,6.96,9.83,18.39,34.36,67.86,12.78,12.38,24.78,17.91,16.62,8.81,7.34,28,27.59,11.97,5.15,14.41,17.13,19.79,4.87,0,8.49,29.79,0,17.1,3.07,7.19,NA,0,0,18.24,23.88,5.41,28.97,35.77,36.96,0,46.24,70.54,33.68,26.01,47.11,28.74,10
